,player_name,player_extended_name,nationality,position,overall
88,Shevchenko,Andriy Shevchenko,Ukraine,ST,88
89,Ferdinand,Rio Ferdinand,United Kingdom of Great Britain and Northern Ireland,CB,88
90,Carlos,Roberto Carlos da Silva Rocha,Brazil,LB,88
91,Matthäus,Lothar Matthäus,Germany,CB,88
92,Litmanen,Jari Litmanen,Finland,CAM,88
93,Maldini,Paolo Maldini,Italy,LB,88
94,Rui Costa,Rui Manuel César Costa,Portugal,CAM,88
95,Pirès,Robert Pirès,France,LM,88
96,Owen,Michael Owen,United Kingdom of Great Britain and Northern Ireland,ST,88
97,Zanetti,Javier Zanetti,Argentina,RB,88
98,Petit,Emmanuel Petit,France,CDM,88
99,Rijkaard,Frank Rijkaard,Netherlands,CB,88
100,Verón,Juan Sebastián Verón,Argentina,CM,88
101,Vieira,Patrick Vieira,France,CM,88
102,Kluivert,Patrick Kluivert,Netherlands,ST,88
103,Bergkamp,Dennis Bergkamp,Netherlands,CF,87
104,Crespo,Hernán Crespo,Argentina,ST,87
105,Inzaghi,Filippo Inzaghi,Italy,ST,87
106,Del Piero,Alessandro Del Piero,Italy,CF,87
107,Gattuso,Gennaro Gattuso,Italy,CDM,87
108,Van Der Sar,Edwin van der Sar,Netherlands,GK,87
109,Deco,Anderson Luís de Souza,Portugal,CAM,87
110,Henry,Thierry Henry,France,LW,87
111,Shearer,Alan Shearer,United Kingdom of Great Britain and Northern Ireland,ST,87
112,Okocha,Jay-Jay Okocha,Nigeria,RM,87
113,Zanetti,Javier Zanetti,Argentina,LB,87
114,Hernández,Luis Hernández,Mexico,ST,87
115,Larsson,Henrik Larsson,Sweden,ST,87
116,Desailly,Marcel Desailly,France,CB,87
117,Shevchenko,Andriy Shevchenko,Ukraine,ST,86
118,Gullit,Ruud Gullit,Netherlands,CM,86
119,Owen,Michael Owen,United Kingdom of Great Britain and Northern Ireland,ST,86
120,Vieira,Patrick Vieira,France,CM,86
121,Carlos,Roberto Carlos da Silva Rocha,Brazil,LB,86
122,Schmeichel,Peter Schmeichel,Denmark,GK,86
123,Rijkaard,Frank Rijkaard,Netherlands,CDM,86
124,Larsson,Henrik Larsson,Sweden,ST,86
125,Overmars,Marc Overmars,Netherlands,LW,86
126,Puyol,Carles Puyol Saforcada,Spain,RB,86
127,Kluivert,Patrick Kluivert,Netherlands,ST,86
128,Campbell,Sol Campbell,United Kingdom of Great Britain and Northern Ireland,CB,85
129,Deco,Anderson Luís de Souza,Portugal,CAM,85
130,Hernández,Luis Hernández,Mexico,ST,85
131,Okocha,Jay-Jay Okocha,Nigeria,RM,85
132,Litmanen,Jari Litmanen,Finland,CF,85
133,Hagi,Gheorghe Hagi,Romania,CAM,85
134,Pirès,Robert Pirès,France,CAM,85
135,Crespo,Hernán Crespo,Argentina,ST,85
136,Rui Costa,Rui Manuel César Costa,Portugal,CAM,85
137,Inzaghi,Filippo Inzaghi,Italy,ST,85
138,Ferdinand,Rio Ferdinand,United Kingdom of Great Britain and Northern Ireland,CB,85
139,Laudrup,Michael Laudrup,Denmark,CF,85
140,Petit,Emmanuel Petit,France,LB,85
141,Blanc,Laurent Blanc,France,CAM,85
142,Ronaldo,C. Ronaldo dos Santos Aveiro,Portugal,ST,93
143,Chiellini,Giorgio Chiellini,Italy,CB,89
144,Dybala,Paulo Dybala,Argentina,CAM,88
145,Sandro,Alex Sandro Lobo Silva,Brazil,LB,85
146,Bonucci,Leonardo Bonucci,Italy,CB,86
147,Pjanic,Miralem Pjanic,Bosnia and Herzegovina,CM,86
148,Matuidi,Blaise Matuidi,France,CDM,85
149,Szczesny,Wojciech Szczesny,Poland,GK,86
150,Cancelo,João Pedro Cavaco Cancelo,Portugal,RB,84
151,Reus,Marco Reus,Germany,CAM,88
152,Witsel,Axel Witsel,Belgium,CDM,85
153,De Gea,David De Gea Quintana,Spain,GK,89
154,Pogba,Paul Pogba,France,CM,88
155,Lukaku,Romelu Lukaku,Belgium,ST,85
156,De Bruyne,Kevin De Bruyne,Belgium,CAM,91
157,Agüero,Sergio Agüero,Argentina,ST,89
158,Silva,David Josué Jimenez Silva,Spain,CAM,88
159,Ederson,Ederson Santana de Moraes,Brazil,GK,88
160,Fernandinho,Fernando Luiz Rosa,Brazil,CDM,87
161,Sané,Leroy Sané,Germany,LW,86
162,Sterling,Raheem Sterling,United Kingdom of Great Britain and Northern Ireland,RW,88
163,Mahrez,Riyad Mahrez,Algeria,RW,84
164,Silva,Bernardo Mota Carvalho e Silva,Portugal,RW,87
165,Walker,Kyle Walker,United Kingdom of Great Britain and Northern Ireland,RB,84
166,Laporte,Aymeric Laporte,France,CB,87
167,Jesus,Gabriel Fernando de Jesus,Brazil,ST,82
168,Mendy,Benjamin Mendy,France,LB,80
169,Messi,Lionel Messi,Argentina,RW,94
170,Suárez,Luis Suárez,Uruguay,ST,89
171,Ter Stegen,Marc-André ter Stegen,Germany,GK,90
172,Coutinho,Philippe Coutinho Correia,Brazil,LW,86
173,Busquets,Sergio Busquets Burgos,Spain,CDM,89
174,Rakitic,Ivan Rakitic,Croatia,CM,86
175,Piqué,Gerard Piqué Bernabeu,Spain,CB,88
176,Alba,Jordi Alba Ramos,Spain,LB,87
177,Umtiti,Samuel Umtiti,France,CB,86
178,Hazard,Eden Hazard,Belgium,LW,91
179,Kanté,N'Golo Kanté,France,CDM,89
180,Jorginho,Luiz Frello Filho Jorge,Italy,CM,83
181,Giroud,Olivier Giroud,France,ST,82
182,Emerson,Emerson Palmieri dos Santos,Italy,LB,77
183,Lewandowski,Robert Lewandowski,Poland,ST,89
184,Neuer,Manuel Neuer,Germany,GK,88
185,Hummels,Mats Hummels,Germany,CB,87
186,Rodríguez,James Rodríguez,Colombia,CAM,85
187,Thiago,Thiago Alcântara,Spain,CM,87
188,Müller,Thomas Müller,Germany,CAM,86
189,Kimmich,Joshua Kimmich,Germany,RB,86
190,Alaba,David Alaba,Austria,LB,85
191,Süle,Niklas Süle,Germany,CB,85
192,Salah,Mohamed Salah,Egypt,RW,90
193,Firmino,Roberto Firmino Barbosa de Oliveira,Brazil,CF,86
194,Mané,Sadio Mané,Senegal,LW,88
195,Van Dijk,Virgil van Dijk,Netherlands,CB,90
196,Fabinho,Fábio Henrique Tavares,Brazil,CDM,85
197,Alisson,Alisson Ramses Becker,Brazil,GK,89
198,Robertson,Andrew Robertson,United Kingdom of Great Britain and Northern Ireland,LB,85
199,Kane,Harry Kane,United Kingdom of Great Britain and Northern Ireland,ST,89
200,Eriksen,Christian Eriksen,Denmark,CAM,88
201,Lloris,Hugo Lloris,France,GK,88
202,Vertonghen,Jan Vertonghen,Belgium,CB,87
203,Alderweireld,Toby Alderweireld,Belgium,CB,87
204,Son,Heung Min Son,Korea (Republic of),CF,87
205,Sánchez,Davinson Sánchez,Colombia,CB,83
206,Aubameyang,Pierre-Emerick Aubameyang,Gabon,ST,88
207,Lacazette,Alexandre Lacazette,France,ST,86
208,Modric,Luka Modric,Croatia,CM,90
209,Ramos,Sergio Ramos García,Spain,CB,89
210,Courtois,Thibaut Courtois,Belgium,GK,88
211,Kroos,Toni Kroos,Germany,CM,88
212,Isco,Francisco Román Alarcón Suárez,Spain,CAM,86
213,Marcelo,Marcelo Vieira da Silva,Brazil,LB,85
214,Casemiro,Carlos Henrique Venancio Casimiro,Brazil,CDM,87
215,Navas,Keylor Navas,Costa Rica,GK,87
216,Varane,Raphaël Varane,France,CB,85
217,Carvajal,Daniel Carvajal Ramos,Spain,RB,85
218,Benzema,Karim Benzema,France,CF,87
219,Fernández,José Ignacio Fernández Iglesias,Spain,CB,82
220,Vázquez,Lucas Vázquez Iglesias,Spain,RW,81
221,Donnarumma,Gianluigi Donnarumma,Italy,GK,85
222,Fernandes,Bruno Miguel Borges Fernandes,Portugal,CAM,85
223,Insigne,Lorenzo Insigne,Italy,CF,87
224,Mertens,Dries Mertens,Belgium,CF,87
225,Koulibaly,Kalidou Koulibaly,Senegal,CB,89
226,Allan,Allan Marques Loureiro,Brazil,CM,85
227,Manolas,Kostas Manolas,Greece,CB,85
228,Neymar,Neymar da Silva Santos Jr.,Brazil,LW,92
229,Cavani,Edinson Cavani,Uruguay,ST,88
230,Silva,Thiago Emiliano da Silva,Brazil,CB,87
231,Mbappé,Kylian Mbappé,France,ST,89
232,Verratti,Marco Verratti,Italy,CM,86
233,Marquinhos,Marcos Aoas Corrêa,Brazil,CB,86
234,Di María,Ángel Di María,Argentina,RW,86
235,Draxler,Julian Draxler,Germany,CAM,83
236,Godín,Diego Godín,Uruguay,CB,88
237,Oblak,Jan Oblak,Slovenia,GK,91
238,Griezmann,Antoine Griezmann,France,CF,89
239,Koke,Jorge Resurrección,Spain,RM,85
240,Saúl,Saúl Ñíguez Esclápez,Spain,CM,85
241,Giménez,José María Giménez,Uruguay,CB,85
242,Adán,Antonio Adán Garrido,Spain,GK,81
243,Savic,Stefan Savic,Montenegro,CB,82
244,Rodri,Rodrigo Hernández Cascante,Spain,CDM,85
245,Immobile,Ciro Immobile,Italy,ST,86
246,Milinkovic-Savic,Sergej Milinkovic-Savic,Serbia,CM,85
247,Kjær,Simon Kjær,Denmark,CB,82
248,Gómez,Sergi Gómez Solà,Spain,CB,80
249,Asenjo,Sergio Asenjo Andrés,Spain,GK,82
250,Falcao,Radamel Falcao García Zarate,Colombia,ST,83
251,Handanovic,Samir Handanovic,Slovenia,GK,88
252,Icardi,Mauro Icardi,Argentina,ST,85
253,Škriniar,Milan Škriniar,Slovakia,CB,86
254,Hermoso,Mario Hermoso Canseco,Spain,CB,80
255,Mandi,Aïssa Mandi,Algeria,CB,80
256,Sidnei,Sidnei Rechel da Silva Júnior,Brazil,CB,80
257,Parejo,Daniel Parejo Muñoz,Spain,CM,86
258,Ziyech,Hakim Ziyech,Morocco,CAM,85
259,De Ligt,Matthijs de Ligt,Netherlands,CB,85
260,De Jong,Frenkie de Jong,Netherlands,CM,85
261,Pacheco,Fernando Pacheco Flores,Spain,GK,82
262,Gómez,Alejandro Gómez,Argentina,CAM,85
263,Soria,David Soria Solís,Spain,GK,82
264,Ibrahimovic,Zlatan Ibrahimovic,Sweden,ST,85
265,Masip,Jordi Masip López,Spain,GK,81
266,Cruyff,Johan Cruyff,Netherlands,CF,94
267,Baggio,Roberto Baggio,Italy,CAM,93
268,Eusébio,Eusébio da Silva Ferreira,Portugal,CF,93
269,Rivaldo,Rivaldo Vítor Borba Ferreira,Brazil,LW,92
270,Raúl,Raúl González Blanco,Spain,CF,92
271,Seedorf,Clarence Seedorf,Netherlands,CAM,91
272,Ballack,Michael Ballack,Germany,CM,91
273,Trezeguet,David Trezeguet,France,ST,91
274,Sócrates,Sócrates Vieira de Oliveira,Brazil,CAM,91
275,Baresi,Franco Baresi,Italy,CB,91
276,Klose,Miroslav Klose,Germany,ST,91
277,Eusébio,Eusébio da Silva Ferreira,Portugal,CF,91
278,Cruyff,Johan Cruyff,Netherlands,CF,91
279,Baggio,Roberto Baggio,Italy,CAM,91
280,Makélélé,Claude Makélélé,France,CDM,90
281,Best,George Best,United Kingdom of Great Britain and Northern Ireland,RW,90
282,Luís Figo,Luís Filipe Madeira Caeiro Figo,Portugal,RW,90
283,Vieri,Christian Vieri,Italy,ST,90
284,Van Nistelrooy,Ruud van Nistelrooy,Netherlands,ST,90
285,Stoichkov,Hristo Stoichkov,Bulgaria,LW,90
286,Butragueño,Emilio Butragueño Santos,Spain,ST,90
287,Rivaldo,Rivaldo Vítor Borba Ferreira,Brazil,CF,90
288,Verón,Juan Sebastián Verón,Argentina,CM,90
289,Eusébio,Eusébio da Silva Ferreira,Portugal,CF,89
290,Cannavaro,Fabio Cannavaro,Italy,CB,89
291,Hierro,Fernando Hierro Ruiz,Spain,CB,89
292,Giggs,Ryan Giggs,United Kingdom of Great Britain and Northern Ireland,LM,89
293,Lineker,Gary Lineker,United Kingdom of Great Britain and Northern Ireland,ST,89
294,Moore,Bobby Moore,United Kingdom of Great Britain and Northern Ireland,CB,89
295,Scholes,Paul Scholes,United Kingdom of Great Britain and Northern Ireland,CM,89
296,Nedvěd,Pavel Nedvěd,Czech Republic,LM,89
297,Klose,Miroslav Klose,Germany,ST,89
298,Sócrates,Sócrates Vieira de Oliveira,Brazil,CAM,89
299,Cruyff,Johan Cruyff,Netherlands,CF,89
300,Trezeguet,David Trezeguet,France,ST,89
301,Gerrard,Steven Gerrard,United Kingdom of Great Britain and Northern Ireland,CM,89
302,Campbell,Sol Campbell,United Kingdom of Great Britain and Northern Ireland,CB,89
303,Gattuso,Gennaro Gattuso,Italy,CDM,89
304,Baggio,Roberto Baggio,Italy,CF,89
305,Ballack,Michael Ballack,Germany,CM,89
306,Best,George Best,United Kingdom of Great Britain and Northern Ireland,RW,88
307,Luís Figo,Luís Filipe Madeira Caeiro Figo,Portugal,CAM,88
308,Lehmann,Jens Lehmann,Germany,GK,88
309,Baresi,Franco Baresi,Italy,CB,88
310,Keane,Roy Keane,Ireland,CM,88
311,Nakata,Hidetoshi Nakata,Japan,CAM,88
312,Seedorf,Clarence Seedorf,Netherlands,CM,88
313,Lampard,Frank Lampard,United Kingdom of Great Britain and Northern Ireland,CM,88
314,Raúl,Raúl González Blanco,Spain,CF,88
315,Klose,Miroslav Klose,Germany,ST,87
316,Cannavaro,Fabio Cannavaro,Italy,CB,87
317,Zola,Gianfranco Zola,Italy,CF,87
318,Giggs,Ryan Giggs,United Kingdom of Great Britain and Northern Ireland,LM,87
319,Lineker,Gary Lineker,United Kingdom of Great Britain and Northern Ireland,ST,87
320,Moore,Bobby Moore,United Kingdom of Great Britain and Northern Ireland,CB,87
321,Scholes,Paul Scholes,United Kingdom of Great Britain and Northern Ireland,CM,87
322,Stoichkov,Hristo Stoichkov,Bulgaria,ST,87
323,Butragueño,Emilio Butragueño Santos,Spain,ST,87
324,Sócrates,Sócrates Vieira de Oliveira,Brazil,CAM,87
325,Makélélé,Claude Makélélé,France,CDM,87
326,Rivaldo,Rivaldo Vítor Borba Ferreira,Brazil,CAM,87
327,Campbell,Sol Campbell,United Kingdom of Great Britain and Northern Ireland,CB,87
328,Nakata,Hidetoshi Nakata,Japan,CAM,86
329,Verón,Juan Sebastián Verón,Argentina,CM,86
330,Hierro,Fernando Hierro Ruiz,Spain,CB,86
331,Vieri,Christian Vieri,Italy,ST,86
332,Van Nistelrooy,Ruud van Nistelrooy,Netherlands,ST,86
333,Nedvěd,Pavel Nedvěd,Czech Republic,LM,86
334,Keane,Roy Keane,Ireland,CM,86
335,Trezeguet,David Trezeguet,France,ST,86
336,Lampard,Frank Lampard,United Kingdom of Great Britain and Northern Ireland,CM,86
337,Gerrard,Steven Gerrard,United Kingdom of Great Britain and Northern Ireland,CDM,86
338,Raúl,Raúl González Blanco,Spain,CF,86
339,Ballack,Michael Ballack,Germany,CM,86
340,Zola,Gianfranco Zola,Italy,CF,85
341,Lehmann,Jens Lehmann,Germany,GK,85
342,Nakata,Hidetoshi Nakata,Japan,CAM,85
343,Makélélé,Claude Makélélé,France,RM,85
344,Seedorf,Clarence Seedorf,Netherlands,CM,85
345,Gattuso,Gennaro Gattuso,Italy,CM,85
346,Zidane,Zinedine Zidane,France,CAM,96
347,Zidane,Zinedine Zidane,France,CAM,94
348,Zidane,Zinedine Zidane,France,CM,91
349,Guardiola,Pep Guardiola,Spain,CDM,90
350,Guardiola,Josep Guardiola Sala,Spain,CDM,87
351,Guardiola,Josep Guardiola Sala,Spain,CDM,85
352,Koeman,Ronald Koeman,Netherlands,CB,91
353,Koeman,Ronald Koeman,Netherlands,CB,88
354,Koeman,Ronald Koeman,Netherlands,CB,85
355,Essien,Michael Essien,Ghana,CDM,90
356,Essien,Michael Essien,Ghana,CDM,87
357,Essien,Michael Essien,Ghana,CDM,85
358,Zambrotta,Gianluca Zambrotta,Italy,RB,89
359,Zambrotta,Gianluca Zambrotta,Italy,LB,87
360,Zambrotta,Gianluca Zambrotta,Italy,RWB,86
361,Dalglish,Kenny Dalglish,United Kingdom of Great Britain and Northern Ireland,ST,92
362,Dalglish,Kenny Dalglish,United Kingdom of Great Britain and Northern Ireland,CF,90
363,Dalglish,Kenny Dalglish,United Kingdom of Great Britain and Northern Ireland,ST,87
364,Barnes,John Barnes,United Kingdom of Great Britain and Northern Ireland,LW,89
365,Barnes,John Barnes,United Kingdom of Great Britain and Northern Ireland,LW,87
366,Barnes,John Barnes,United Kingdom of Great Britain and Northern Ireland,CAM,86
367,Wright,Ian Wright,United Kingdom of Great Britain and Northern Ireland,ST,89
368,Wright,Ian Wright,United Kingdom of Great Britain and Northern Ireland,ST,87
369,Wright,Ian Wright,United Kingdom of Great Britain and Northern Ireland,ST,85
370,Rush,Ian Rush,United Kingdom of Great Britain and Northern Ireland,ST,91
371,Rush,Ian Rush,United Kingdom of Great Britain and Northern Ireland,ST,89
372,Rush,Ian Rush,United Kingdom of Great Britain and Northern Ireland,ST,87
373,Sánchez,Hugo Sánchez,Mexico,ST,92
374,Sánchez,Hugo Sánchez,Mexico,ST,89
375,Sánchez,Hugo Sánchez,Mexico,ST,87
376,Garrincha,Mané Garrincha,Brazil,RW,94
377,Garrincha,Manuel Franc. dos Santos,Brazil,RW,92
378,Garrincha,Manuel Franc. dos Santos,Brazil,RW,90
379,Drogba,Didier Drogba,Côte d'Ivoire,ST,91
380,Drogba,Didier Drogba,Côte d'Ivoire,ST,89
381,Drogba,Didier Drogba,Côte d'Ivoire,ST,87
382,Capita,Carlos Alberto Torres,Brazil,RB,93
383,Capita,Carlos Alberto Torres,Brazil,RB,90
384,Capita,Carlos Alberto Torres,Brazil,CB,87
385,Pirlo,Andrea Pirlo,Italy,CM,92
386,Pirlo,Andrea Pirlo,Italy,CM,90
387,Pirlo,Andrea Pirlo,Italy,CM,88
388,Kaká,Kaká,Brazil,CAM,91
389,Kaká,Ricardo Izecson dos Santos Leite,Brazil,CAM,89
390,Kaká,Ricardo Izecson dos Santos Leite,Brazil,CAM,87
391,Dier,Eric Dier,United Kingdom of Great Britain and Northern Ireland,CDM,79
392,Vinícius,Vinícius José de Oliveira Júnior,Brazil,LW,79
393,Militão,Éder Gabriel Militão,Brazil,CB,81
394,Sancho,Jadon Sancho,United Kingdom of Great Britain and Northern Ireland,RM,84
395,Wan-Bissaka,Aaron Wan-Bissaka,United Kingdom of Great Britain and Northern Ireland,RB,79
396,Jovic,Luka Jovic,Serbia,ST,83
397,Félix,João Félix Sequeira,Portugal,CF,80
398,Pépé,Nicolas Pépé,Côte d'Ivoire,RM,83
399,Pukki,Teemu Pukki,Finland,ST,77
400,Alonso,Marcos Alonso Mendoza,Spain,LB,81
401,Shaw,Luke Shaw,United Kingdom of Great Britain and Northern Ireland,LB,81
402,Rose,Danny Rose,United Kingdom of Great Britain and Northern Ireland,LB,80
403,Monreal,Ignacio Monreal Eraso,Spain,LB,79
404,Kolašinac,Sead Kolašinac,Bosnia and Herzegovina,LB,79
405,Angeliño,José Ángel Esmoris Tasende,Spain,LB,79
406,Davies,Ben Davies,United Kingdom of Great Britain and Northern Ireland,LB,79
407,Chilwell,Ben Chilwell,United Kingdom of Great Britain and Northern Ireland,LB,79
408,Bertrand,Ryan Bertrand,United Kingdom of Great Britain and Northern Ireland,LB,78
409,Belözoglu,Emre Belözoğlu,Turkey,CM,78
410,Penneteau,Nicolas Penneteau,France,GK,73
411,Quaresma,Ricardo Andrade Quaresma Bernardo,Portugal,RM,81
412,Defoe,Jermain Defoe,United Kingdom of Great Britain and Northern Ireland,ST,76
413,De Rossi,Daniele De Rossi,Italy,CDM,82
414,Rodríguez,Maximiliano Rodríguez,Argentina,LM,74
415,Cifuentes,Alberto Cifuentes Martínez,Spain,GK,73
416,Schweinsteiger,Bastian Schweinsteiger,Germany,CB,76
417,Yilmaz,Burak Yilmaz,Turkey,ST,79
418,Kaldirim,Hasan Ali Kaldirim,Turkey,LB,76
419,Hutchinson,Atiba Hutchinson,Canada,CDM,76
420,Francis,Simon Francis,United Kingdom of Great Britain and Northern Ireland,CB,75
421,Angulo,Igor Angulo Albóniga,Spain,ST,73
422,Milner,James Milner,United Kingdom of Great Britain and Northern Ireland,CM,81
423,Nani,Luís Carlos Almeida da Cunha,Portugal,LW,80
424,Kompany,Vincent Kompany,Belgium,CB,83
425,Mirante,Antonio Mirante,Italy,GK,79
426,Mascherano,Javier Mascherano,Argentina,CDM,80
427,Zabaleta,Pablo Zabaleta,Argentina,RB,75
428,Pyatov,Andriy Pyatov,Ukraine,GK,77
429,Barbosa,Mariano Barbosa,Argentina,GK,75
430,Dátolo,Jesús Dátolo,Argentina,CM,76
431,Tévez,Carlos Tévez,Argentina,CAM,78
432,Akinfeev,Igor Akinfeev,Russian Federation,GK,80
433,Verhaegh,Paul Verhaegh,Netherlands,RB,73
434,Özcan,Ramazan Özcan,Austria,GK,75
435,Clichy,Gaël Clichy,France,LB,77
436,Sand,José Sand,Argentina,ST,76
437,Cvitanich,Darío Cvitanich,Argentina,ST,77
438,Eikrem,Magnus Wolff Eikrem,Norway,CAM,75
439,Gignac,André-Pierre Gignac,France,ST,80
440,Lee Chung Yong,Chung Yong Lee,Korea (Republic of),CAM,73
441,Snodgrass,Robert Snodgrass,United Kingdom of Great Britain and Northern Ireland,RM,76
442,Talavera,Alfredo Talavera,Mexico,GK,74
443,Herrera,Héctor Herrera,Mexico,CM,82
444,Albiol,Raúl Albiol Tortajada,Spain,CB,83
445,Farfán,Jefferson Farfán,Peru,RM,77
446,Afellay,Ibrahim Afellay,Netherlands,CAM,74
447,Peralta,Oribe Peralta,Mexico,ST,74
448,Janssen,Willem Janssen,Netherlands,CB,74
449,Inler,Gökhan Inler,Switzerland,CDM,74
450,Léo Matos,Leonardo de Matos Cruz,Brazil,RB,76
451,Lavezzi,Ezequiel Lavezzi,Argentina,ST,79
452,Gomis,Bafétimbi Gomis,France,ST,81
453,Jurado,José Manuel Jurado Marín,Spain,CAM,74
454,Quagliarella,Fabio Quagliarella,Italy,ST,83
455,Behrami,Valon Behrami,Switzerland,CDM,75
456,Moutinho,João Filipe Moutinho,Portugal,CM,84
457,Fàbregas,Francesc Fàbregas i Soler,Spain,CM,81
458,Orozco,Jonathan Orozco,Mexico,GK,76
459,Baines,Leighton Baines,United Kingdom of Great Britain and Northern Ireland,LB,75
460,Sessègnon,Stéphane Sessègnon,Benin,CAM,76
461,Sergio,Sergio Álvarez Conde,Spain,GK,75
462,Diamanti,Alessandro Diamanti,Italy,CAM,76
463,Mikel,John Obi Mikel,Nigeria,CM,73
